                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7536,                 2.9047,                 3.7961,                 1.4276,                0.02976,                0.44349,                0.12152,                0.07161,                0.03359,                0.56341,                0.14305,                0.06683,                 1.1264,                 1.7697,                 3.6621,                 1.1233,             0.00015554,             0.00015554,             0.00015554
                      2,                 1.1985,                   1.61,                 2.3004,                 1.0551,                0.93011,                0.08006,                0.38502,                 0.2489,                0.93142,                0.08218,                 0.3831,                0.24977,                 1.1414,                 1.7228,                 2.9243,                 1.0456,               0.000319,               0.000319,               0.000319
                      3,                 1.1677,                 1.5944,                 1.5879,                 1.0346,                0.85337,                0.40907,                0.66133,                0.46896,                0.79062,                0.37119,                0.58412,                0.37671,                 1.0473,                 1.8152,                  2.315,                0.99878,             0.00047916,             0.00047916,             0.00047916
                      4,                 1.0583,                 1.3966,                 1.2674,                 1.0041,                0.87643,                0.54162,                0.77521,                0.54459,                0.88181,                0.54458,                0.78231,                0.51918,                  1.059,                 1.6261,                 2.2124,                 1.0101,             0.00063602,             0.00063602,             0.00063602
                      5,                 1.0086,                 1.3067,                 1.0789,                0.99252,                0.88527,                0.37785,                0.85229,                0.62854,                0.88527,                0.37785,                0.86525,                0.63828,                 1.0417,                 1.4951,                 2.0434,                 1.0014,             0.00078958,             0.00078958,             0.00078958
                      6,                0.98914,                  1.222,                 1.0035,                0.97858,                0.90436,                0.56079,                0.82775,                0.63906,                0.90583,                0.56226,                0.83044,                0.58913,                0.97509,                 1.4012,                  1.831,                 1.0143,             0.00093984,             0.00093984,             0.00093984
                      7,                0.95516,                 1.2228,                0.94409,                0.99475,                0.88307,                0.69569,                0.89222,                0.69288,                0.88144,                0.69421,                0.88796,                0.63068,                0.87454,                 1.3996,                 1.6896,                0.97235,               0.001045,               0.001045,               0.001045
                      8,                0.96455,                 1.2665,                0.91706,                0.97528,                0.78518,                0.78506,                0.85534,                0.66103,                0.77518,                0.77354,                0.83603,                0.57924,                0.93864,                 1.3882,                 1.3151,                 1.0305,               0.001045,               0.001045,               0.001045
                      9,                0.91243,                 1.1998,                0.85824,                0.97048,                0.89587,                0.90157,                0.93527,                0.74547,                0.89049,                0.89547,                0.91977,                0.66335,                0.90978,                 1.3164,                 1.1715,                0.99711,               0.001034,               0.001034,               0.001034
                     10,                0.91897,                    1.2,                0.84467,                0.96589,                0.92812,                0.92916,                0.93771,                0.75016,                0.93001,                0.93053,                0.93833,                0.66819,                 0.8217,                 1.2838,                0.85013,                0.98202,               0.001023,               0.001023,               0.001023
                     11,                0.91452,                 1.2553,                0.83342,                0.97209,                0.92103,                0.96158,                 0.9496,                0.76722,                0.92249,                0.96306,                0.94974,                0.71124,                0.80888,                 1.3865,                0.75033,                0.97657,               0.001012,               0.001012,               0.001012
                     12,                0.89467,                 1.1991,                0.80052,                0.97093,                0.91719,                0.96152,                 0.9579,                0.76354,                0.92095,                0.96158,                 0.9605,                0.70954,                0.82037,                  1.351,                0.74167,                 0.9712,               0.001001,               0.001001,               0.001001
                     13,                0.89422,                  1.193,                0.77487,                0.96142,                0.94666,                0.96729,                0.95734,                0.76458,                0.93695,                0.95488,                0.94262,                0.69456,                0.81483,                 1.3429,                0.73668,                0.97399,             0.00099001,             0.00099001,             0.00099001
                     14,                0.89559,                 1.1124,                0.77203,                 0.9596,                0.94978,                0.97605,                0.96324,                0.77042,                 0.9417,                0.96992,                0.95839,                0.70043,                0.81492,                  1.204,                0.73104,                0.97976,             0.00097901,             0.00097901,             0.00097901
